[2022-06-23 09:30:03:0585] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:34:00:0869] | Info     | Manager.cpp              -L1510: [Start] StartGrabbing success.
[2022-06-23 09:34:00:0869] | Info     | Manager.cpp              -L1516: [Start] end success.
[2022-06-23 09:34:00:0869] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [7].
[2022-06-23 09:34:00:0869] | Warning  | Manager.cpp              -L1352: [FetchFrame] error lost frameID from[0] to [7].
[2022-06-23 09:34:00:0871] | Info     | Manager.cpp              -L2582: [DepthMapConvert] m_pDepthBuffer new success.
[2022-06-23 09:34:00:0871] | Info     | Manager.cpp              -L2603: [DepthMapConvert] m_pPointBuffer new success.
[2022-06-23 09:34:00:0871] | Info     | Manager.cpp              -L1872: [CamGetDeviceInfo] device SN[00K14280159] ModelName[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[] 
[2022-06-23 09:34:00:0871] | Info     | Manager.cpp              -L2621: [DepthMapConvert] RGBDSensorCali camSerialNum(00K14280159).
[2022-06-23 09:34:01:0154] | Info     | CameraModule.cpp         -L1095: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0076: [CDepthConvertVm::Init] begin.
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0042: [CDepthConvertVm::DeInit] begin.
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0068: [CDepthConvertVm::DeInit] end.
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0106: [CDepthConvertVm::Init] m_stBinoMemTab[0].size[384], m_stBinoMemTab[1].size[0].
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0158: [CDepthConvertVm::Init] MVB3D_BINOSTEREO_Create success.
[2022-06-23 09:34:01:0155] | Info     | DepthConvertVm.cpp       -L0169: [CDepthConvertVm::Init] end.
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:37:28:0621] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:37:28:0623] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:37:28:0623] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:37:28:0623] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:37:28:0754] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:37:28:0754] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:37:28:0754] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:37:28:0754] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:37:28:0754] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-06-23 09:37:28:0814] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-06-23 09:37:28:0815] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280159].
[2022-06-23 09:37:28:0815] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280159] Model[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[].
[2022-06-23 09:37:28:0815] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-06-23 09:37:29:0040] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-06-23 09:37:29:0040] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-06-23 09:37:29:0041] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-06-23 09:37:29:0042] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-06-23 09:37:29:0043] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-06-23 09:37:29:0043] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-06-23 09:37:29:0045] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:37:29:0045] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-06-23 09:37:29:0045] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-06-23 09:37:29:0046] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:37:29:0046] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-06-23 09:37:29:0046] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-06-23 09:37:29:0157] | Info     | Manager.cpp              -L1510: [Start] StartGrabbing success.
[2022-06-23 09:37:29:0157] | Info     | Manager.cpp              -L1516: [Start] end success.
[2022-06-23 09:37:29:0157] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [96].
[2022-06-23 09:37:29:0157] | Warning  | Manager.cpp              -L1352: [FetchFrame] error lost frameID from[0] to [96].
[2022-06-23 09:37:29:0159] | Info     | Manager.cpp              -L2582: [DepthMapConvert] m_pDepthBuffer new success.
[2022-06-23 09:37:29:0159] | Info     | Manager.cpp              -L2603: [DepthMapConvert] m_pPointBuffer new success.
[2022-06-23 09:37:29:0159] | Info     | Manager.cpp              -L1872: [CamGetDeviceInfo] device SN[00K14280159] ModelName[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[] 
[2022-06-23 09:37:29:0159] | Info     | Manager.cpp              -L2621: [DepthMapConvert] RGBDSensorCali camSerialNum(00K14280159).
[2022-06-23 09:37:29:0408] | Info     | CameraModule.cpp         -L1095: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0076: [CDepthConvertVm::Init] begin.
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0042: [CDepthConvertVm::DeInit] begin.
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0068: [CDepthConvertVm::DeInit] end.
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0106: [CDepthConvertVm::Init] m_stBinoMemTab[0].size[384], m_stBinoMemTab[1].size[0].
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0158: [CDepthConvertVm::Init] MVB3D_BINOSTEREO_Create success.
[2022-06-23 09:37:29:0408] | Info     | DepthConvertVm.cpp       -L0169: [CDepthConvertVm::Init] end.
[2022-06-23 09:40:13:0389] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:40:13:0390] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:40:13:0390] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:40:13:0522] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:40:13:0522] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:40:13:0523] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:40:13:0523] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:40:13:0523] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-06-23 09:40:13:0576] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-06-23 09:40:13:0576] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280159].
[2022-06-23 09:40:13:0576] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280159] Model[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[].
[2022-06-23 09:40:13:0576] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-06-23 09:40:13:0818] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-06-23 09:40:13:0818] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-06-23 09:40:13:0819] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-06-23 09:40:13:0820] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-06-23 09:40:13:0822] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-06-23 09:40:13:0822] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-06-23 09:40:13:0823] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:40:13:0823] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-06-23 09:40:13:0824] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-06-23 09:40:13:0825] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:40:13:0825] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-06-23 09:40:13:0825] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-06-23 09:40:13:0940] | Info     | Manager.cpp              -L1510: [Start] StartGrabbing success.
[2022-06-23 09:40:13:0940] | Info     | Manager.cpp              -L1516: [Start] end success.
[2022-06-23 09:40:13:0940] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [575].
[2022-06-23 09:40:13:0940] | Warning  | Manager.cpp              -L1352: [FetchFrame] error lost frameID from[0] to [575].
[2022-06-23 09:40:13:0942] | Info     | Manager.cpp              -L2582: [DepthMapConvert] m_pDepthBuffer new success.
[2022-06-23 09:40:13:0942] | Info     | Manager.cpp              -L2603: [DepthMapConvert] m_pPointBuffer new success.
[2022-06-23 09:40:13:0942] | Info     | Manager.cpp              -L1872: [CamGetDeviceInfo] device SN[00K14280159] ModelName[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[] 
[2022-06-23 09:40:13:0942] | Info     | Manager.cpp              -L2621: [DepthMapConvert] RGBDSensorCali camSerialNum(00K14280159).
[2022-06-23 09:40:14:0193] | Info     | CameraModule.cpp         -L1095: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0076: [CDepthConvertVm::Init] begin.
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0042: [CDepthConvertVm::DeInit] begin.
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0068: [CDepthConvertVm::DeInit] end.
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0106: [CDepthConvertVm::Init] m_stBinoMemTab[0].size[384], m_stBinoMemTab[1].size[0].
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0158: [CDepthConvertVm::Init] MVB3D_BINOSTEREO_Create success.
[2022-06-23 09:40:14:0194] | Info     | DepthConvertVm.cpp       -L0169: [CDepthConvertVm::Init] end.
[2022-06-23 09:48:07:0780] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:48:07:0781] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:48:07:0782] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:48:07:0783] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:48:07:0783] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:48:07:0915] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:48:07:0915] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:48:07:0915] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:48:07:0915] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:48:07:0915] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-06-23 09:48:07:0966] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-06-23 09:48:07:0966] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280159].
[2022-06-23 09:48:07:0966] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280159] Model[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[].
[2022-06-23 09:48:07:0967] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-06-23 09:48:08:0161] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-06-23 09:48:08:0161] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-06-23 09:48:08:0163] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-06-23 09:48:08:0164] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-06-23 09:48:08:0167] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-06-23 09:48:08:0167] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-06-23 09:48:08:0169] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:48:08:0169] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-06-23 09:48:08:0169] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-06-23 09:48:08:0171] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:48:08:0171] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-06-23 09:48:08:0171] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-06-23 09:48:13:0478] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:48:13:0479] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:48:13:0480] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:48:13:0480] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:48:13:0480] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:48:13:0613] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:48:13:0613] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:48:13:0613] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:48:13:0613] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:48:13:0613] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
